Feature Server language,batch size = 1,batch size = 10,batch size = 20,batch size = 30,batch size = 40,batch size = 50,batch size = 60,batch size = 70,batch size = 80,batch size = 90,batch size = 100
Python,7.229,15.139,23.963,32.797,41.438,50.432,59.883,94.568,103.281,111.929,124.871
Java,0.8,2.23,3.66,4.8,6.09,7.29,8.6,10.18,11.91,14.32,17
